# RTL_ID 21051400
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: sbreak.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
               3   N   00000000   00000000   00000800   ---        --------
               6   N   00000800   0000e101   00000804   x10_a0     00000000
               7   N   00000804   00004e01   00000806   ---        --------
               8   N   00000806   00000297   00000808   x28_t3     00000000
               9   N   00000808   eb828293   0000080c   x05_t0     00000808
              10   N   0000080c   30529073   00000810   x05_t0     000006c0
              11   N   00000810   00004505   00000814   ---        --------
              12   N   00000814   0000057e   00000816   x10_a0     00000001
              13   N   00000816   00054863   00000818   x10_a0     80000000
              14   N   00000818   0ff0000f   00000828   ---        --------
              17   N   00000828   00028f63   0000082c   x05_t0     00000000
              18   N   0000082c   10529073   0000084a   ---        --------
              22   N   0000084a   00006509   0000084e   ---        --------
              23   N   0000084e   00006509   0000084e   ---        --------
              24   N   0000084e   80050513   00000850   x10_a0     00002000
              25   N   00000850   30052073   00000854   x10_a0     00001800
              26   N   00000854   00000297   00000858   ---        --------
              27   N   00000858   00000297   00000858   ---        --------
              28   N   00000858   62e28293   0000085c   x05_t0     00000858
              29   N   0000085c   34129073   00000860   x05_t0     00000e86
              30   N   00000860   f1402573   00000864   ---        --------
              31   N   00000864   30200073   00000868   x10_a0     00000000
              33   N   00000868   00000000   00000e86   ---        --------
              36   N   00000e86   00009002   00000e88   x28_t3     00000002
              37   E   00000e88   0000a019   000006c0   mstatus    00001800
              37   E   00000e88   0000a019   000006c0   mepc       00000e88
              37   E   00000e88   0000a019   000006c0   mcause     00000003
              37   E   00000e88   0000a019   000006c0   mtval      00000000
              40   N   000006c0   000047a1   000006c4   x14_a4     00000003
              41   N   000006c4   04f70263   000006c6   x15_a5     00000008
              42   N   000006c6   000047a5   000006ca   ---        --------
              43   N   000006ca   02f70f63   000006cc   x15_a5     00000009
              44   N   000006cc   000047ad   000006d0   ---        --------
              45   N   000006d0   02f70c63   000006d2   x15_a5     0000000b
              46   N   000006d2   47ad0837   000006d6   ---        --------
              48   N   000006d6   02f70897   000006da   x16_a6     f0000000
              50   N   000006da   f0008893   000006de   x17_a7     000006da
              52   N   000006de   00008783   000006e2   x17_a7     00000e80
              55   N   000006e2   0000c791   000006e6   x15_a5     00000062
              56   N   000006e6   00f82023   000006e8   ---        --------
              58   N   000006e8   00000885   000006ec   ---        --------
              59   N   000006ec   ff5ff06f   000006ee   x17_a7     00000e81
              60   N   000006ee   08850717   000006e2   ---        --------
              65   N   000006e2   0000c791   000006e6   x15_a5     00000072
              66   N   000006e6   00f82023   000006e8   ---        --------
              68   N   000006e8   00000885   000006ec   ---        --------
              69   N   000006ec   ff5ff06f   000006ee   x17_a7     00000e82
              70   N   000006ee   08850717   000006e2   ---        --------
